Institute ID,Name,City,State,Score,Rank,TLR,RPC,GO,OI,PERCEPTION,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,GMS,GPHD,RD,WD,ESCS,PCS
IR-E-C-1297,Siddaganga Institute of Technology,Tumkur,Karnataka,38.81,101,59.38,15.43,54.24,49.56,5.55,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-36969,Coimbatore Institute of Technology,Coimbatore,Tamil Nadu,38.74,102,63.99,8.47,43.38,50.51,32.73,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0190,Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,38.58,103,55.99,22.73,47.47,54.74,0,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0056,Tezpur University,Tezpur,Assam,38.39,104,49.58,34.26,41.5,41.9,7.45,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0460,Karunya Institute of Technology and Sciences,Coimbatore,Tamil Nadu,38.38,105,52.14,26.57,43.78,51.97,8.07,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,Madhya Pradesh,38.33,106,46.9,17.04,66.48,53.57,4.9,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0130,Dhirubhai Ambani Institute of Information and Communication Technology,Gandhinagar,Gujarat,38.2,107,50.12,11.09,71.67,48.81,6.19,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,37.93,108,41.3,32.95,47.68,44.66,16.36,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-16547,Sri Sairam Engineering College,Kancheepuram,Tamil Nadu,37.84,109,55.56,11.27,58.93,57.83,2.17,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-16626,Rajalakshmi Engineering College,Chennai,Tamil Nadu,37.71,110,64.13,4.96,56.15,53.93,3.56,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
