Institute ID,Name,City,State,Score,Rank,TLR,RPC,GO,OI,PR,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,GMS,GPHD,RD,WD,ESCS,PCS
IR-E-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,89.79,1,95.19,96.41,79.89,63.26,100,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,87.09,2,84.89,94.74,85,67.92,94.07,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,80.74,3,79.12,87.94,81.93,56.89,85.36,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,80.65,4,84.35,80.16,88.99,58.82,76.15,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,75.64,5,74.55,78.36,88.91,60.42,59.37,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,73.76,6,67.27,78.3,84.68,56.04,75.51,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,70.32,7,67.7,74.99,85.01,54.95,50.09,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,70.28,8,83.86,61.12,75.92,55.95,60.04,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,69.71,9,73.73,61.45,78.82,65.86,67.98,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0575,Jadavpur University,Kolkata,West Bengal,67.04,10,76.89,65.9,76.68,52.81,35.84,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,66.59,11,62.35,75.41,70.39,61.63,50.21,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0237,"National Institute of Technology Karnataka, Surathkal",Surathkal,Karnataka,65.26,12,72.8,56.09,77.23,62.95,48.38,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0439,Anna University,Chennai,Tamil Nadu,65.06,13,63.92,74.48,59.95,50.02,65.5,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,63.93,14,75.9,60.88,72.39,59.53,24.73,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,63.74,15,61.12,60.02,82.22,56.16,53.31,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,62.79,16,73.96,61.71,71.54,59.05,18.85,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,62.37,17,66.37,63.59,72.92,57.25,30.85,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0139,Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,61.66,18,82.8,42.85,68.86,66.14,35.84,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,61.54,19,76.43,54.55,61.85,65.05,33.77,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-I-1480,Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,61.24,20,70.96,61.47,70.6,63.07,10.79,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0025,National Institute of Technology Warangal,Warangal,Telangana,61.13,21,72.58,50.86,74.41,57.19,34.99,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0378,Indian Institute of Technology Ropar,Rupnagar,Punjab,60.51,22,77.27,44.53,71.06,64.93,32.7,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,60.28,23,74.03,40.82,78.62,67.96,33.06,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,59.7,24,72.94,56.31,69,53.66,17.57,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0391,Birla Institute of Technology & Science -Pilani,Pilani,Rajasthan,59.52,25,64.17,52.87,78.39,54.37,32.88,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0108,"Jamia Millia Islamia,New Delhi",New Delhi,Delhi,59.3,26,61.9,59.59,73.2,63.85,18.34,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,58.92,27,76.52,44.14,65.46,72.19,24.07,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,58.56,28,63.79,60.19,64.99,61.6,22.01,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0098,Delhi Technological University,New Delhi,Delhi,58.34,29,70.44,41.13,74.27,57.03,43.22,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0395,Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,58.03,30,80.97,38.23,73.08,64.85,11.7,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,57.3,31,66.29,61.47,58.28,59.42,13.75,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,57.26,32,70.07,59.84,59.12,40.2,24.51,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0184,Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,56.49,33,62.63,42.48,79.3,66.35,24.73,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,56.21,34,74.05,44.14,69.08,57.96,11.4,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,56.12,35,63.46,45.68,71.47,58.91,31.97,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0458,Kalasalingam Academy of Research and Education,Srivilliputtur,Tamil Nadu,55.69,36,74.13,36.24,68.5,75.33,13.46,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0410,Malaviya National Institute of Technology,Jaipur,Rajasthan,55.6,37,65.7,51.26,66.89,59.56,11.7,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0747,Chandigarh University,Mohali,Punjab,55.2,38,75.7,31.04,59.19,79.56,33.77,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,55.14,39,72.6,42.33,57.28,77.38,14.59,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0055,National Institute of Technology Silchar,Silchar,Assam,55.07,40,60.85,54.59,69.77,53.35,11.4,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0064,Indian Institute of Technology Patna,Patna,Bihar,55.03,41,56.93,51.4,72.25,56.15,24.73,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0334,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,Maharashtra,55.03,41,65.12,47.03,72.77,53.4,14.88,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0577,National Institute of Technology Durgapur,Durgapur,West Bengal,53.91,43,63.94,41.32,74.22,55.8,19.1,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,53.69,44,70.94,46.14,57.91,56.43,13.46,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,Kalavakkam,Tamil Nadu,52.88,45,67.69,41.08,66.94,53.21,15.43,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0374,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Jalandhar,Punjab,52.85,46,67.98,36.76,60.85,67.76,24.73,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,52.42,47,60.35,37.35,74.14,57.68,24.95,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0255,Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,52.04,48,73.07,24.43,63.41,61.72,39.39,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,51.89,49,57.14,40.37,77.57,54.78,16.51,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0379,Lovely Professional University,Phagwara,Punjab,51.47,50,59.64,49.52,49.19,63.51,25.39,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0622,National Institute of Technology Delhi,Delhi,Delhi,51.41,51,68.47,29.84,63.59,72.41,19.6,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0249,Visvesvaraya Technological University,Belgaum,Karnataka,51.38,52,65.94,49.97,52.64,51.94,8.91,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,50.68,53,67.76,37.01,59.56,51.4,22.01,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0564,UPES,Dehradun,Uttarakhand,50.63,54,67.45,39.45,46.08,62.74,30.66,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0014,International Institute of Information Technology Hyderabad,Hyderabad,Telangana,50.33,55,56.57,40.6,65,58.36,23.4,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0072,National Institute of Technology Patna,Patna,Bihar,50.16,56,61.49,39.77,70.28,52.28,4.87,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0297,Defence Institute of Advanced Technology,Pune,Maharashtra,50.14,57,69.03,41.76,54.06,58.16,2.69,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0172,National Institute of Technology Kurukshetra,Kurukshetra,Haryana,49.89,58,54.95,41.2,60.55,54.13,35.17,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0844,"Indian Institute of Technology, Tirupati",Yerpedu,Andhra Pradesh,49.8,59,75.5,18.49,62.71,58.15,32.52,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-C-6379,Netaji Subhas University of Technology (NSUT),South West,Delhi,49.68,60,68.96,23.44,75.55,46.27,22.25,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-C-7252,Manipal Institute of Technology,Manipal,Karnataka,49.62,61,65.74,35.65,54.01,62.25,21.78,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0555,Graphic Era University,Dehradun,Uttarakhand,49.59,62,64.1,32.12,53.76,68.53,31.23,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-C-37013,PSG College of Technology,Coimbatore,Tamil Nadu,49.43,63,64.51,29.98,54.9,47.21,53.86,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,49.3,64,71.38,46.01,34.86,69.33,1.94,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,Surat,Gujarat,49,65,57.79,40.93,66.01,51.56,10.17,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,48.87,66,61.03,44.04,47.51,66.76,11.7,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0906,Indian Institute of Technology Jammu,Jammu,Jammu and Kashmir,48.15,67,74.62,21.51,57.32,56.55,22.01,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,47.93,68,64.41,21.26,72.53,73.04,4.16,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0878,Indian Institute of Technology Palakkad,Palakkad,Kerala,47.86,69,71.97,17.51,61.18,65.98,21.78,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0092,"National Institute of Technology, Raipur",Raipur,Chhattisgarh,47.69,70,55.59,40.36,64.35,55.81,4.51,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0042,University of Hyderabad,Hyderabad,Telangana,47.51,71,59.36,45.92,54.33,43.21,7.27,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0619,National Institute of Technology Meghalaya,Shillong,Meghalaya,47.27,72,67.55,31.37,57.65,55.41,5.22,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-C-41593,"College of Engineering, Pune",Pune,Maharashtra,46.89,73,65.5,22.62,66.89,51.62,19.1,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0221,International Institute of Information Technology Bangalore,Bengaluru,Karnataka,46.58,74,67.24,20.86,63.07,58.61,16.78,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0105,Indraprastha Institute of Information Technology Delhi,New Delhi,Delhi,46.57,75,51.99,36.68,69.89,47.33,12.59,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
